question_category,variable_name,description,question,possible_response_values,
Dog Demographics,date,Date,Timestamp for completion of questionnaire,YYYY-MM-DD,
,site,Abbreviation for site/location,What location are you going to visit?,"accc, auburn, bccc, bdl, cchil,  cci, crumun, dcc, duke, eltebuda, icoc, ldbtdc, manitoba, other, queensu, tdc, ucs, umessina, urijeka, uwarsaw, yale ",
,subject_id,Subject ID,What is your dog's assigned subject ID?,[site abbreviation]_[study number]_[subject number],
,experiment_status,Status of subject in experiment,,"Error (Experimental error invalidated session), Incomplete (Subject did not complete session, invalidating it), Included (Valid session used in analysis)",
,owned_status,Location of where dog lives,What is the dog's living situation? - Selected Choice,"Group housing (e.g., working dog kennel), Private home, Other",
,birthdate,Dog date of birth,Dog date of birth,YYYY-MM-DD,
,sex,Dog sex,What is your dog's sex?,"Female, Male",
,age,Dog age (years),Dog age in years,Number,
,desexed,Dog neuter status,Has your dog been spayed or neutered?,"Yes, No",
,purebred,Dog purebreed status,Is your dog purebred?,"Yes, No",
,breed,Dog breed,What breed is your dog?,Multiple choice; 95 breeds represented,
,breed_registry,Dog breed registration status,Is your dog registered with a kennel club in your country?,"Yes, No",
,mixed_breed,Dog mixed breeds,Is your dog a mix of known breeds?,"Yes, No",
Training and Communication,communication_method,Owner's method of communication with dog,How do you typically communicate with your dog? Select all that apply,"Acoustic (clicker or whistle), Gesture (hand gestures, pointing), Verbal (spoken words), Other",
,gesture_frequency,Frequency of owner using hand gestures with dog,How frequently do you use hand gestures (such as pointing or waving) to communicate with your dog?,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,gaze_follow,Frequency of dog following pointing gestures,My dog follows pointing gestures with it's gaze immediately,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,training_type,Presence of dog training/activities,Indicate the frequency with which your dog has participated in each of the following types of training/activity in the past 12 months. Select all that apply.,"Puppy (Puppy class), Neighbor (Good neighbor class), Obedience1 (Basic obedience), Obedience2 (Advanced obedience), Rallyo (Rally obedience), Music (Musical freestyle), Agility, Ballsport (flyball), Discdog, Conform (Conformation), Scent, Search_rescue (Search and rescue), Sled (Sled pulling/cart pulling), Pullsport (Skijoring/Canicross/Bikejoring), Therapy, Service, Hunt (Game hunting/tracking), Herd (Herding/sheepdog trials), Other ",
,training_freq_puppy,Frequency of puppy classes,Puppy class frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_neighbor,Frequency of good neighbor classes,Good neighbor class frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_obedience1,Frequency of basic obedience classes,Basic obedience frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_obedience2,Frequency of advanced obedience classes,Advanced obedience frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_rallyo,Frequency of rally obedience activities,Rally obedience frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_music,Frequency of musical freestyle activities,Musical freestyle frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
,training_freq_agility,Frequency of agility activities,Agility frequency of participation in the last 12 months,"Never, Weekly, >1 week, <1 month, 1-2 month",
